"marque";"modele";"energ";"hybride";"puissance_administrative";"puissance_maximale";"typ_boite_nb_rapp";"conso_urb_93";"conso_exurb";"conso_mixte";"co2_mixte";"co_typ_1";"hc";"nox";"hcnox";"ptcl";"masse_ordma_min";"masse_ordma_max"
"CITROEN ";"C3 ";"GO ";"non ";5;"73";"M 5 ";"3.8";"3.2";"3.4";87;"0.196";"";"0.034";"0.053";"0";1160;1160
"CITROEN ";"C3 ";"ES ";"non ";4;"60";"M 5 ";"5.6";"4.1";"4.6";107;"0.719";"0.05";"0.008";"";"";1050;1050
"CITROEN ";"C3 ";"ES ";"non ";4;"60";"M 5 ";"5.5";"3.9";"4.5";104;"0.69";"0.066";"0.027";"";"";1050;1050
"CITROEN ";"C3 ";"ES ";"non ";4;"60";"M 5 ";"4.5";"3.9";"4.1";95;"0.54";"0.057";"0.054";"";"";1055;1055
"CITROEN ";"C3 ";"ES ";"non ";4;"60";"M 5 ";"5.5";"3.9";"4.5";102;"0.69";"0.066";"0.027";"";"";1050;1050
"CITROEN ";"C3 ";"ES ";"non ";4;"60";"M 5 ";"5.2";"3.9";"4.3";99;"0.54";"0.057";"0.054";"";"";1055;1055
"CITROEN ";"C3 ";"ES ";"non ";5;"81";"M 5 ";"5.6";"3.9";"4.5";104;"0.459";"0.038";"0.018";"";"0.001";1145;1145
"CITROEN ";"C3 ";"ES ";"non ";4;"50";"M 5 ";"5.2";"4";"4.4";102;"0.307";"0.039";"0.019";"";"";1048;1048
"CITROEN ";"C3 ";"ES ";"non ";4;"50";"M 5 ";"5.1";"3.8";"4.3";99;"0.307";"0.039";"0.019";"";"";1048;1048
"CITROEN ";"C3 ";"ES ";"non ";4;"50";"M 5 ";"5";"3.7";"4.1";95;"0.307";"0.039";"0.019";"";"";1048;1048
"CITROEN ";"C3 PICASSO ";"ES ";"non ";7;"88";"M 5 ";"8.6";"5";"6.3";145;"0.306";"0.045";"0.017";"";"";1279;1279
"CITROEN ";"C3 PICASSO ";"ES ";"non ";7;"88";"M 5 ";"9";"4.9";"6.4";149;"0.306";"0.045";"0.017";"";"";1279;1279
"CITROEN ";"C3 PICASSO ";"ES ";"non ";7;"88";"M 6 ";"8";"4.8";"6";137;"0.576";"0.065";"0.015";"";"";1280;1280
"CITROEN ";"C3 PICASSO ";"ES ";"non ";6;"88";"M 6 ";"7.4";"4.6";"5.7";132;"0.576";"0.065";"0.015";"";"";1280;1280
"CITROEN ";"C3 PICASSO ";"ES ";"non ";6;"70";"M 5 ";"8.4";"5.1";"6.3";145;"0.248";"0.063";"0.03";"";"";1276;1276
"CITROEN ";"C3 PICASSO ";"ES ";"non ";6;"70";"M 5 ";"8.2";"4.9";"6.1";140;"0.248";"0.063";"0.03";"";"";1276;1276
"CITROEN ";"C3 PICASSO ";"GO ";"non ";6;"84";"M 6 ";"6.2";"4.2";"4.9";127;"0.213";"";"0.162";"0.2";"0.002";1393;1393
"CITROEN ";"C3 PICASSO ";"GO ";"non ";6;"84";"M 6 ";"5.5";"4";"4.6";119;"0.213";"";"0.162";"0.2";"0.002";1393;1393
"CITROEN ";"C3 PICASSO ";"GO ";"non ";5;"68";"M 5 ";"4.7";"3.7";"4.1";107;"0.357";"";"0.168";"0.221";"0.001";1280;1280
"CITROEN ";"C3 PICASSO ";"GO ";"non ";5;"68";"M 5 ";"4.7";"3.6";"4";105;"0.357";"";"0.168";"0.221";"0.001";1280;1280
"CITROEN ";"C3 PICASSO ";"GO ";"non ";5;"68";"M 6 ";"4.7";"3.8";"4.2";109;"0.272";"";"0.132";"0.181";"0.001";1388;1388
"CITROEN ";"C3 PICASSO ";"GO ";"non ";5;"68";"M 6 ";"4.9";"4";"4.3";112;"0.272";"";"0.132";"0.181";"0.001";1388;1388
"CITROEN ";"C3 PICASSO ";"ES ";"non ";6;"81";"M 5 ";"6.4";"4.2";"5";115;"0.302";"0.047";"0.012";"";"0.001";1280;1280
"CITROEN ";"C4 ";"ES ";"non ";6;"70";"M 5 ";"8.2";"5.1";"6.2";143;"0.225";"0.043";"0.034";"";"";1275;1275
"CITROEN ";"C4 ";"ES ";"non ";6;"70";"M 5 ";"8.2";"4.9";"6.1";140;"0.225";"0.043";"0.034";"";"";1275;1275
"CITROEN ";"C4 ";"GO ";"non ";5;"84";"M 6 ";"4.4";"3.4";"3.8";97;"0.21";"";"0.138";"0.17";"0";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"84";"M 6 ";"4.3";"3.3";"3.7";95;"0.21";"";"0.138";"0.17";"0";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"84";"M 6 ";"4.4";"3.5";"3.8";100;"0.21";"";"0.138";"0.17";"0";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"84";"A 6 ";"4.2";"3.5";"3.8";98;"0.281";"";"0.135";"0.175";"0.001";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"84";"A 6 ";"4.1";"3.4";"3.7";95;"0.281";"";"0.135";"0.175";"0.001";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";6;"84";"A 6 ";"4.3";"3.6";"3.9";101;"0.281";"";"0.135";"0.175";"0.001";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"68";"M 5 ";"5";"3.7";"4.2";109;"0.317";"";"0.158";"0.216";"0";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"68";"M 5 ";"4.9";"3.6";"4.1";106;"0.317";"";"0.158";"0.216";"0";1280;1280
"CITROEN ";"C4 ";"GO ";"non ";5;"68";"M 5 ";"4.8";"3.5";"4";104;"0.317";"";"0.158";"0.216";"0";1280;1280
"CITROEN ";"C4 ";"GH ";"oui ";7;"110";"M 6 ";"4.2";"3.6";"3.8";98;"0.321";"";"0.064";"0.084";"0";1435;1435
"CITROEN ";"C4 ";"GH ";"oui ";7;"110";"M 6 ";"4.1";"3.6";"3.8";98;"0.321";"";"0.064";"0.084";"0";1435;1435
"CITROEN ";"C4 ";"GO ";"non ";5;"73";"M 5 ";"4.5";"3.4";"3.8";98;"0.354";"";"0.057";"0.08";"0";1275;1275
"CITROEN ";"C4 ";"GO ";"non ";5;"73";"M 5 ";"4.4";"3.2";"3.6";95;"0.354";"";"0.057";"0.08";"0";1275;1275
"CITROEN ";"C4 ";"GO ";"non ";6;"88";"M 6 ";"4.2";"3.3";"3.6";95;"0.258";"";"0.056";"0.077";"0";1355;1355
"CITROEN ";"C4 ";"GO ";"non ";6;"88";"M 6 ";"4.1";"3.3";"3.6";93;"0.258";"";"0.056";"0.077";"0";1355;1355
"CITROEN ";"C4 ";"GO ";"non ";6;"88";"M 6 ";"4.4";"3.5";"3.8";100;"0.258";"";"0.056";"0.077";"0";1355;1355
"CITROEN ";"C4 ";"ES ";"non ";6;"96";"M 6 ";"5.8";"4";"4.7";107;"0.152";"0.028";"0.024";"";"0.001";1280;1280
"CITROEN ";"C4 ";"ES ";"non ";7;"96";"M 6 ";"5.8";"4.2";"4.8";110;"0.152";"0.028";"0.024";"";"0.001";1280;1280
"CITROEN ";"C4 ";"ES ";"non ";7;"96";"A 6 ";"6.1";"4.2";"4.9";113;"0.452";"0.051";"0.027";"";"0.002";1315;1315
"CITROEN ";"C4 ";"ES ";"non ";7;"96";"A 6 ";"6.1";"4.1";"4.8";110;"0.452";"0.051";"0.027";"";"0.002";1315;1315
"CITROEN ";"C4 ";"ES ";"non ";7;"96";"A 6 ";"6.2";"4.4";"5.1";117;"0.452";"0.051";"0.027";"";"0.002";1315;1315
"CITROEN ";"C4 ";"ES ";"non ";6;"81";"M 5 ";"6.3";"4.1";"5";115;"0.291";"0.051";"0.015";"";"0.001";1275;1275
"CITROEN ";"C4 ";"ES ";"non ";6;"81";"M 5 ";"6.1";"4";"4.8";112;"0.291";"0.051";"0.015";"";"0.001";1275;1275
"CITROEN ";"C4 ";"ES ";"non ";6;"81";"M 5 ";"6";"3.9";"4.7";110;"0.291";"0.051";"0.015";"";"0.001";1275;1275
"CITROEN ";"C4 AIRCROSS ";"GO ";"non ";8;"110";"M 6 ";"6.6";"4.7";"5.4";141;"0.204";"";"0.127";"0.181";"0";1505;1505
"CITROEN ";"C4 AIRCROSS ";"GO ";"non ";8;"110";"M 6 ";"6.8";"4.9";"5.6";146;"0.204";"";"0.127";"0.181";"0";1570;1570
"CITROEN ";"C4 AIRCROSS ";"GO ";"non ";6;"84";"M 6 ";"5.3";"4.2";"4.6";119;"0.235";"";"0.16";"0.193";"0.001";1390;1390
"CITROEN ";"C4 AIRCROSS ";"GO ";"non ";6;"84";"M 6 ";"5.6";"4.5";"4.9";129;"0.227";"";"0.166";"0.201";"0.001";1500;1500
"CITROEN ";"C4 AIRCROSS ";"ES ";"non ";6;"86";"M 5 ";"7.7";"4.9";"6";137;"0.419";"0.039";"0.035";"";"";1385;1385
"CITROEN ";"C4 AIRCROSS ";"ES ";"non ";6;"86";"M 5 ";"7.4";"4.9";"5.8";133;"0.419";"0.039";"0.035";"";"";1385;1385
"CITROEN ";"C4 CACTUS ";"GO ";"non ";4;"68";"A 6 ";"3.9";"3.5";"3.6";94;"0.26";"";"0.122";"0.157";"0";1130;1130
"CITROEN ";"C4 CACTUS ";"GO ";"non ";4;"68";"A 6 ";"3.8";"3.4";"3.5";92;"0.26";"";"0.122";"0.157";"0";1130;1130
"CITROEN ";"C4 CACTUS ";"GO ";"non ";5;"73";"M 5 ";"4.2";"3.1";"3.5";92;"0.32";"";"0.038";"0.062";"0";1145;1145
"CITROEN ";"C4 CACTUS ";"GO ";"non ";5;"73";"M 5 ";"4";"3.1";"3.4";90;"0.32";"";"0.038";"0.062";"0";1145;1145
"CITROEN ";"C4 CACTUS ";"GO ";"non ";5;"73";"M 5 ";"3.8";"3.2";"3.4";89;"0.196";"";"0.034";"0.053";"0";1145;1145
"CITROEN ";"C4 CACTUS ";"GO ";"non ";5;"73";"M 5 ";"3.8";"3.2";"3.4";87;"0.196";"";"0.034";"0.053";"0";1145;1145
"CITROEN ";"C4 CACTUS ";"GO ";"non ";4;"73";"M 5 ";"3.5";"3";"3.2";82;"0.196";"";"0.034";"0.053";"0";1145;1145
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"55";"M 5 ";"5.6";"4";"4.6";107;"0.553";"0.046";"0.026";"";"";1040;1040
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"55";"M 5 ";"5.6";"4";"4.6";105;"0.553";"0.046";"0.026";"";"";1040;1040
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"60";"M 5 ";"5.6";"4";"4.6";107;"0.553";"0.046";"0.026";"";"";1040;1040
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"60";"A 5 ";"5.1";"3.9";"4.3";100;"0.579";"0.049";"0.026";"";"";1050;1050
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"60";"M 5 ";"5.6";"4";"4.6";105;"0.553";"0.046";"0.026";"";"";1040;1040
"CITROEN ";"C4 CACTUS ";"ES ";"non ";4;"60";"A 5 ";"5";"3.9";"4.3";98;"0.579";"0.049";"0.026";"";"";1050;1050
"CITROEN ";"C4 CACTUS ";"ES ";"non ";5;"81";"M 5 ";"5.8";"4";"4.7";107;"0.46";"0.038";"0.018";"";"";1095;1095
"CITROEN ";"C4 CACTUS ";"ES ";"non ";5;"81";"M 5 ";"5.8";"3.9";"4.6";105;"0.46";"0.038";"0.018";"";"";1095;1095
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"88";"M 5 ";"8.5";"4.9";"6.3";145;"0.401";"0.054";"0.031";"";"";1353;1353
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"115";"M 6 ";"8.1";"4.9";"6.1";140;"0.706";"0.054";"0.015";"";"0.001";1388;1388
"CITROEN ";"C4 PICASSO ";"ES ";"non ";8;"115";"M 6 ";"8.1";"4.7";"5.9";137;"0.736";"0.058";"0.015";"";"0";1388;1388
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.4";"4.6";"5.6";130;"0.534";"0.071";"0.038";"";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.3";"4.6";"5.6";129;"0.534";"0.071";"0.038";"";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.5";"4.9";"5.8";134;"0.534";"0.071";"0.038";"";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.5";"3.8";"4";105;"0.36";"";"0.136";"0.175";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"M 6 ";"4.5";"3.8";"4";105;"0.341";"";"0.114";"0.156";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.4";"3.7";"4";104;"0.36";"";"0.136";"0.175";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"68";"A 6 ";"4.2";"3.5";"3.8";98;"0.366";"";"0.143";"0.19";"0";1391;1391
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.2";"3.7";"3.9";102;"0.164";"";"0.045";"0.055";"0";1505;1505
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.4";"3.7";"4";105;"0.164";"";"0.045";"0.055";"0";1505;1505
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5";"3.9";"4.3";112;"0.415";"";"0.043";"0.069";"0";1551;1551
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5.1";"4";"4.4";115;"0.415";"";"0.043";"0.069";"0";1551;1551
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.4";"3.5";"3.8";100;"0.202";"";"0.023";"0.041";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.5";"3.5";"3.8";99;"0.202";"";"0.023";"0.041";"0";1395;1395
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.5";"3.8";"4";106;"0.293";"";"0.072";"0.097";"0";1422;1422
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.5";"3.3";"3.8";98;"0.293";"";"0.072";"0.097";"0";1440;1440
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.6";"3.7";"4";105;"0.293";"";"0.072";"0.097";"0";1422;1422
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"96";"M 6 ";"6.1";"4.3";"5";116;"0.302";"0.06";"0.018";"";"0.001";1372;1372
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"96";"M 6 ";"6.1";"4.3";"5";115;"0.302";"0.06";"0.018";"";"0.001";1372;1372
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"88";"M 5 ";"8.5";"4.9";"6.3";145;"0.401";"0.054";"0.031";"";"";1327;1327
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"115";"M 6 ";"8.1";"4.9";"6.1";140;"0.706";"0.054";"0.015";"";"0.001";1371;1371
"CITROEN ";"C4 PICASSO ";"ES ";"non ";8;"115";"M 6 ";"8.1";"4.7";"5.9";137;"0.736";"0.058";"0.015";"";"0";1371;1371
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.4";"4.6";"5.6";130;"0.534";"0.071";"0.038";"";"0";1385;1385
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.3";"4.6";"5.6";129;"0.534";"0.071";"0.038";"";"0";1385;1385
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.5";"4.9";"5.8";134;"0.534";"0.071";"0.038";"";"0";1385;1385
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.5";"3.8";"4";105;"0.36";"";"0.136";"0.175";"0";1370;1370
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"M 6 ";"4.5";"3.8";"4";105;"0.341";"";"0.114";"0.156";"0";1373;1373
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.4";"3.7";"4";104;"0.36";"";"0.136";"0.175";"0";1370;1370
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"68";"M 5 ";"4.8";"3.8";"4.2";110;"0.466";"";"0.155";"0.21";"0";1354;1354
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"68";"A 6 ";"4.2";"3.5";"3.8";98;"0.366";"";"0.143";"0.19";"0";1364;1364
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.2";"3.7";"3.9";102;"0.164";"";"0.045";"0.055";"0";1490;1490
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.4";"3.7";"4";105;"0.164";"";"0.045";"0.055";"0";1490;1490
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5";"3.9";"4.3";112;"0.415";"";"0.043";"0.069";"0";1510;1510
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5.1";"4";"4.4";115;"0.415";"";"0.043";"0.069";"0";1510;1510
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.4";"3.5";"3.8";100;"0.202";"";"0.023";"0.041";"0";1371;1371
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.5";"3.5";"3.8";99;"0.202";"";"0.023";"0.041";"0";1371;1371
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"96";"M 6 ";"6.1";"4.3";"5";116;"0.302";"0.06";"0.018";"";"0.001";1355;1355
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"88";"M 5 ";"8.5";"4.9";"6.3";145;"0.401";"0.054";"0.031";"";"";1351;1351
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"115";"M 6 ";"8.1";"4.9";"6.1";140;"0.706";"0.054";"0.015";"";"0.001";1386;1386
"CITROEN ";"C4 PICASSO ";"ES ";"non ";8;"115";"M 6 ";"8.1";"4.7";"5.9";137;"0.736";"0.058";"0.015";"";"0";1386;1386
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.4";"4.6";"5.6";130;"0.534";"0.071";"0.038";"";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.3";"4.6";"5.6";129;"0.534";"0.071";"0.038";"";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"ES ";"non ";9;"121.4";"A 6 ";"7.5";"4.9";"5.8";134;"0.534";"0.071";"0.038";"";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.5";"3.8";"4";105;"0.36";"";"0.136";"0.175";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"M 6 ";"4.5";"3.8";"4";105;"0.341";"";"0.114";"0.156";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"85";"A 6 ";"4.4";"3.7";"4";104;"0.36";"";"0.136";"0.175";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"68";"A 6 ";"4.2";"3.5";"3.8";98;"0.366";"";"0.143";"0.19";"0";1389;1389
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.2";"3.7";"3.9";102;"0.164";"";"0.045";"0.055";"0";1503;1503
"CITROEN ";"C4 PICASSO ";"GH ";"oui ";7;"110";"M 6 ";"4.4";"3.7";"4";105;"0.164";"";"0.045";"0.055";"0";1503;1503
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5";"3.9";"4.3";112;"0.415";"";"0.043";"0.069";"0";1549;1549
"CITROEN ";"C4 PICASSO ";"GO ";"non ";8;"110";"A 6 ";"5.1";"4";"4.4";115;"0.415";"";"0.043";"0.069";"0";1549;1549
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.4";"3.5";"3.8";100;"0.202";"";"0.023";"0.041";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";5;"73";"M 5 ";"4.5";"3.5";"3.8";99;"0.202";"";"0.023";"0.041";"0";1393;1393
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.5";"3.8";"4";106;"0.293";"";"0.072";"0.097";"0";1420;1420
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.5";"3.3";"3.8";98;"0.293";"";"0.072";"0.097";"0";1438;1438
"CITROEN ";"C4 PICASSO ";"GO ";"non ";6;"88";"M 6 ";"4.6";"3.7";"4";105;"0.293";"";"0.072";"0.097";"0";1420;1420
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"96";"M 6 ";"6.1";"4.3";"5";116;"0.302";"0.06";"0.018";"";"0.001";1370;1370
"CITROEN ";"C4 PICASSO ";"ES ";"non ";7;"96";"M 6 ";"6.1";"4.3";"5";115;"0.302";"0.06";"0.018";"";"0.001";1370;1370
"CITROEN ";"C5 ";"GO ";"non ";12;"150";"A 6 ";"8";"4.7";"5.9";155;"0.225";"";"0.147";"0.167";"0.001";1735;1735
"CITROEN ";"C5 ";"ES ";"non ";7;"88";"A 6 ";"8.3";"5";"6.2";144;"0.631";"0.05";"0.031";"";"";1500;1500
"CITROEN ";"C5 ";"ES ";"non ";9;"115";"M 6 ";"9.3";"5.1";"6.7";153;"0.931";"0.036";"0.044";"";"0";1505;1505
"CITROEN ";"C5 ";"ES ";"non ";9;"115";"A 6 ";"10.5";"5.6";"7.3";169;"0.773";"0.044";"0.045";"";"0.002";1590;1590
"CITROEN ";"C5 ";"GO ";"non ";6;"84";"A 6 ";"4.7";"4";"4.3";111;"0.218";"";"0.149";"0.181";"0.001";1600;1600
"CITROEN ";"C5 ";"GO ";"non ";6;"84";"M 5 ";"5.3";"4.2";"4.6";120;"0.266";"";"0.142";"0.181";"0.001";1581;1581
"CITROEN ";"C5 ";"GO ";"non ";7;"103";"M 6 ";"6.4";"4.1";"4.9";129;"0.314";"";"0.157";"0.189";"0.001";1615;1615
"CITROEN ";"C5 ";"GO ";"non ";9;"120";"M 6 ";"6.4";"4.1";"4.9";129;"0.314";"";"0.157";"0.189";"0.001";1615;1615
"CITROEN ";"C5 ";"GO ";"non ";9;"120";"A 6 ";"8.2";"5.1";"6.2";163;"0.213";"";"0.139";"0.157";"0.003";1684;1684
"CITROEN ";"C5 ";"GO ";"non ";12;"150";"A 6 ";"8.2";"4.9";"6.1";159;"0.225";"";"0.147";"0.167";"0.001";1842;1842
"CITROEN ";"C5 ";"ES ";"non ";9;"115";"M 6 ";"9.5";"5.2";"6.8";155;"0.931";"0.036";"0.044";"";"0";1578;1578
"CITROEN ";"C5 ";"ES ";"non ";9;"115";"A 6 ";"10.5";"5.6";"7.3";169;"0.773";"0.044";"0.045";"";"0.002";1609;1609
"CITROEN ";"C5 ";"GO ";"non ";6;"84";"A 6 ";"4.7";"4";"4.3";111;"0.218";"";"0.149";"0.181";"0.001";1615;1615
"CITROEN ";"C5 ";"GO ";"non ";6;"84";"M 5 ";"5.3";"4.2";"4.6";120;"0.266";"";"0.142";"0.181";"0.001";1613;1613
"CITROEN ";"C5 ";"GO ";"non ";7;"103";"M 6 ";"6.6";"4.3";"5.1";133;"0.314";"";"0.157";"0.189";"0.001";1670;1670
"CITROEN ";"C5 ";"GO ";"non ";9;"120";"M 6 ";"6.6";"4.3";"5.1";133;"0.314";"";"0.157";"0.189";"0.001";1670;1670
"CITROEN ";"C5 ";"GO ";"non ";9;"120";"A 6 ";"8.2";"5.1";"6.2";163;"0.213";"";"0.139";"0.157";"0.003";1717;1717
"CITROEN ";"C8 ";"GO ";"non ";8;"100";"M 6 ";"7.4";"5";"5.9";155;"0.308";"";"0.148";"0.179";"0.001";1845;1845
"CITROEN ";"C8 ";"GO ";"non ";9;"120";"M 6 ";"7.4";"5";"5.9";155;"0.308";"";"0.148";"0.179";"0.001";1845;1845
"CITROEN ";"DS3 ";"ES ";"non ";12;"152";"M 6 ";"8.7";"4.9";"6.4";149;"0.119";"0.024";"0.025";"";"0.001";1240;1240
"CITROEN ";"DS3 ";"ES ";"non ";12;"152";"M 6 ";"8.7";"4.9";"6.4";149;"0.119";"0.024";"0.025";"";"0.001";1231;1231
"CITROEN ";"DS3 ";"ES ";"non ";12;"149";"M 6 ";"8.7";"4.9";"6.4";149;"0.119";"0.024";"0.025";"";"0.001";1240;1240
"CITROEN ";"DS3 ";"ES ";"non ";7;"88";"A 4 ";"9.5";"5.1";"6.7";155;"0.336";"0.049";"0.026";"";"";1164;1164
"CITROEN ";"DS3 ";"ES ";"non ";7;"88";"A 4 ";"9.3";"4.9";"6.5";150;"0.336";"0.049";"0.026";"";"";1164;1164
"CITROEN ";"DS3 ";"ES ";"non ";9;"121.4";"M 6 ";"7.1";"4.6";"5.6";129;"0.312";"0.051";"0.033";"";"0";1215;1215
"CITROEN ";"DS3 ";"GO ";"non ";4;"50";"M 5 ";"4.5";"3.4";"3.8";99;"0.331";"";"0.171";"0.229";"0.001";1145;1145
"CITROEN ";"DS3 ";"GO ";"non ";4;"50";"M 5 ";"4.4";"3.2";"3.6";95;"0.331";"";"0.171";"0.229";"0.001";1145;1145
"CITROEN ";"DS3 ";"GO ";"non ";4;"68";"A 6 ";"4.1";"3.4";"3.6";95;"0.303";"";"0.125";"0.164";"0";1165;1165
"CITROEN ";"DS3 ";"GO ";"non ";5;"68";"A 6 ";"4.3";"3.5";"3.8";99;"0.303";"";"0.125";"0.164";"0";1165;1165
"CITROEN ";"DS3 ";"GO ";"non ";4;"68";"M 5 ";"4.3";"3.2";"3.6";95;"0.351";"";"0.144";"0.213";"0.001";1160;1160
"CITROEN ";"DS3 ";"GO ";"non ";4;"68";"M 5 ";"4.1";"3.1";"3.5";90;"0.351";"";"0.144";"0.213";"0.001";1160;1160
"CITROEN ";"DS3 ";"GO ";"non ";4;"68";"M 5 ";"4.2";"3.3";"3.6";95;"0.351";"";"0.144";"0.213";"0.001";1160;1160
"CITROEN ";"DS3 ";"GO ";"non ";4;"73";"M 5 ";"3.6";"2.7";"3";79;"0.196";"";"0.034";"0.053";"0";1160;1160
"CITROEN ";"DS3 ";"GO ";"non ";6;"88";"M 6 ";"4.4";"3.2";"3.6";94;"0.161";"";"0.069";"0.081";"0";1165;1165
"CITROEN ";"DS3 ";"ES ";"non ";4;"60";"M 5 ";"5.6";"4.1";"4.6";107;"0.719";"0.05";"0.008";"";"";1049;1049
"CITROEN ";"DS3 ";"ES ";"non ";4;"60";"M 5 ";"5.5";"3.9";"4.5";104;"0.69";"0.066";"0.027";"";"";1049;1049
"CITROEN ";"DS3 ";"ES ";"non ";4;"60";"M 5 ";"4.5";"3.9";"4.1";95;"0.54";"0.057";"0.054";"";"";1055;1055
"CITROEN ";"DS3 ";"ES ";"non ";4;"60";"M 5 ";"5.5";"3.9";"4.5";102;"0.69";"0.066";"0.027";"";"";1049;1049
"CITROEN ";"DS3 ";"ES ";"non ";4;"60";"M 5 ";"5.2";"3.9";"4.3";99;"0.54";"0.057";"0.054";"";"";1055;1055
"CITROEN ";"DS3 ";"ES ";"non ";5;"81";"M 5 ";"5.6";"3.9";"4.5";104;"0.459";"0.038";"0.018";"";"0.001";1145;1145
"CITROEN ";"DS3 ";"ES ";"non ";7;"88";"A 4 ";"9.7";"4.9";"6.7";154;"0.336";"0.049";"0.026";"";"";1208;1208
